Time.h,PPFD
0.016,0
0.032,0
0.048,0
0.064,0
0.08,0
0.096,0
0.112,0
0.128,0
0.144,0
0.16,0
0.176,0
0.192,0
0.208,0
0.224,0
0.24,0
0.256,0
0.272,0
0.288,0
0.304,0
0.32,0
0.336,0
0.352,0
0.368,0
0.384,0
0.4,0
0.416,0
0.432,0
0.448,0
0.464,0
0.48,0
0.4960001,0
0.512,0
0.528,0
0.544,0
0.5599999,0
0.5759999,0
0.5919999,0
0.6079999,0
0.6239998,0
0.6399998,0
0.6559998,0
0.6719998,0
0.6879997,0
0.7039997,0
0.7199997,0
0.7359996,0
0.7519996,0
0.7679996,0
0.7839996,0
0.7999995,0
0.8159995,0
0.8319995,0
0.8479995,0
0.8639994,0
0.8799994,0
0.8959994,0
0.9119993,0
0.9279993,0
0.9439993,0
0.9599993,0
0.9759992,0
0.9919992,0
1.007999,0
1.023999,0
1.039999,0
1.055999,0
1.071999,0
1.087999,0
1.103999,0
1.119999,0
1.135999,0
1.151999,0
1.168,0
1.184,0
1.2,0
1.216,0
1.232,0
1.248,0
1.264,0
1.28,0
1.296,0
1.312,0
1.328,0
1.344,0
1.36,0
1.376,0
1.392,0
1.408,0
1.424,0
1.44,0
1.456,0
1.472,0
1.488,0
1.504,0
1.52,0
1.536,0
1.552,0
1.568,0
1.584,0
1.6,0
1.616,0
1.632,0
1.648,0
1.664001,0
1.680001,0
1.696001,0
1.712001,0
1.728001,0
1.744001,0
1.760001,0
1.776001,0
1.792001,0
1.808001,0
1.824001,0
1.840001,0
1.856001,0
1.872001,0
1.888001,0
1.904001,0
1.920001,0
1.936001,0
1.952001,0
1.968001,0
1.984001,0
2.000001,0
2.016001,0
2.032001,0
2.048001,0
2.064001,0
2.080001,0
2.096001,0
2.112001,0
2.128001,0
2.144001,0
2.160002,0
2.176002,0
2.192002,0
2.208002,0
2.224002,0
2.240002,0
2.256002,0
2.272002,0
2.288002,0
2.304002,0
2.320002,0
2.336002,0
2.352002,0
2.368002,0
2.384002,0
2.400002,0
2.416002,0
2.432002,0
2.448002,0
2.464002,0
2.480002,0
2.496002,0
2.512002,0
2.528002,0
2.544002,0
2.560002,0
2.576002,0
2.592002,0
2.608002,0
2.624002,0
2.640002,0
2.656003,0
2.672003,0
2.688003,0
2.704003,0
2.720003,0
2.736003,0
2.752003,0
2.768003,0
2.784003,0
2.800003,0
2.816003,0
2.832003,0
2.848003,0
2.864003,0
2.880003,0
2.896003,0
2.912003,0
2.928003,0
2.944003,0
2.960003,0
2.976003,0
2.992003,0
3.008003,0
3.024003,0
3.040003,0
3.056003,0
3.072003,0
3.088003,0
3.104003,0
3.120003,0
3.136003,0
3.152004,0
3.168004,0
3.184004,0
3.200004,0
3.216004,0
3.232004,0
3.248004,0
3.264004,0
3.280004,0
3.296004,0
3.312004,0
3.328004,0
3.344004,0
3.360004,0
3.376004,0
3.392004,0
3.408004,0
3.424004,0
3.440004,0
3.456004,0
3.472004,0
3.488004,0
3.504004,0
3.520004,0
3.536004,0
3.552004,0
3.568004,0
3.584004,0
3.600004,0
3.616004,0
3.632004,0
3.648005,0
3.664005,0
3.680005,0
3.696005,0
3.712005,0
3.728005,0
3.744005,0
3.760005,0
3.776005,0
3.792005,0
3.808005,0
3.824005,0
3.840005,0
3.856005,0
3.872005,0
3.888005,0
3.904005,0
3.920005,0
3.936005,0
3.952005,0
3.968005,0
